date,open,high,low,close,adj_close,volume,pct_chg,volume_chg,ma5,ma20,volatility_20d,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,price_13
2025-05-15,57400,58600,57100,57300,56306.89,13139736,-0.001742,0.053869,56800,55690,0.015804,56.9344,134.2015,-178.0762,312.2777,57671.92,53708.08,0.9062,57800
2025-05-16,57400,57500,56700,56800,55815.55,10385352,-0.008726,-0.209622,57200,55700,0.015878,53.9172,172.6856,-107.9238,280.6094,57703.16,53696.84,0.7746,56850
2025-05-19,56400,56400,55500,55800,54832.89,9802105,-0.017606,-0.056161,56840,55755,0.014365,48.3933,121.097,-62.1196,183.2166,57702.17,53807.83,0.5116,55700
2025-05-20,56200,56700,55700,55900,54931.16,9080577,0.001792,-0.073609,56640,55795,0.01429,48.9565,87.2758,-32.2406,119.5163,57718.24,53871.76,0.5273,55950
2025-05-21,56200,56600,55700,55700,54734.62,7794181,-0.003578,-0.141665,56300,55815,0.014304,47.8322,43.8286,-17.0267,60.8553,57724.84,53905.16,0.4699,56050
2025-05-22,55300,55500,54500,54700,53751.95,15254278,-0.017953,0.957137,55780,55780,0.01488,42.5684,-70.4827,-27.7179,-42.7648,57746.67,53813.33,0.2254,54750
2025-05-23,55000,55200,54100,54200,53260.62,11247115,-0.009141,-0.262691,55260,55740,0.014932,40.187,-199.1257,-61.9995,-137.1262,57803.62,53676.38,0.1269,54500
2025-05-26,53900,55000,53700,54700,53751.95,10901337,0.009225,-0.030744,55040,55690,0.014788,43.5857,-257.7591,-101.1514,-156.6077,57805.51,53574.49,0.266,54300
2025-05-27,54200,54500,53800,53900,52965.82,13439520,-0.014625,0.232832,54640,55600,0.015104,39.6989,-364.5772,-153.8366,-210.7406,57861.81,53338.19,0.1242,53950
2025-05-28,54300,56100,54200,55900,54931.16,17516283,0.037106,0.303341,54680,55610,0.017344,51.3736,-284.5677,-179.9828,-104.5849,57875.44,53344.56,0.564,55450
2025-05-29,56200,56400,55600,56100,55127.68,12936810,0.003578,-0.261441,54960,55625,0.017357,52.3668,-202.6848,-184.5232,-18.1616,57899.69,53350.31,0.6044,56250
2025-05-30,56200,57200,55800,56200,55225.95,26219683,0.001783,1.02675,55360,55645,0.01736,52.8849,-128.2446,-173.2675,45.0229,57933.16,53356.84,0.6213,56900
2025-06-02,56300,57300,56200,56800,55815.55,12870515,0.010676,-0.509128,55780,55710,0.01745,55.9791,-20.5977,-142.7335,122.1358,58054,53366,0.7325,56500
2025-06-04,57200,57900,56800,57800,56798.22,19649983,0.017606,0.526744,56560,55885,0.016927,60.6209,143.7478,-85.4372,229.1851,58307.07,53462.93,0.8953,57600
2025-06-05,58100,59900,57900,59100,58075.69,23266027,0.022491,0.184023,57200,56110,0.017456,65.6864,374.5741,6.565,368.0091,58845.27,53374.73,1.0466,58950
2025-06-09,60400,60400,59500,59800,58763.56,19609659,0.011844,-0.157155,57940,56370,0.017514,68.0682,606.9927,126.6506,480.3421,59465.74,53274.26,1.054,59950
2025-06-10,60000,60100,58800,59200,58173.95,15305760,-0.010033,-0.219479,58540,56590,0.017818,63.9694,734.3065,248.1818,486.1248,59837.61,53342.39,0.9018,59050
2025-06-11,59500,60100,59400,59900,58861.82,13610734,0.011824,-0.110744,59160,56705,0.014343,66.5036,881.5261,374.8506,506.6755,60252.26,53157.74,0.9503,59800
2025-06-12,59700,60000,59300,59500,58468.76,17755115,-0.006678,0.304494,59500,56835,0.014107,63.7446,954.9144,490.8634,464.051,60596.45,53073.55,0.8543,59650
2025-06-13,60200,60200,57700,58300,57289.55,20705979,-0.020168,0.166198,59340,56880,0.014881,56.2103,905.8036,573.8514,331.9522,60691.12,53068.88,0.6863,58100
2025-06-16,58000,58100,56900,57200,56208.62,22200872,-0.018868,0.072196,58820,56875,0.015524,50.337,769.2546,612.9321,156.3226,60684.06,53065.94,0.5427,57100
2025-06-17,57800,59800,57400,58100,57093.02,28637003,0.015734,0.289904,58600,56940,0.015762,54.5238,725.3003,635.4057,89.8946,60787.84,53092.16,0.6507,58700
2025-06-18,58000,59800,57900,59800,58763.56,17620705,0.02926,-0.384688,58580,57140,0.016259,61.181,818.2101,671.9666,146.2435,61150.72,53129.28,0.8316,59150
2025-06-19,60500,60600,59000,59200,58173.95,16876278,-0.010033,-0.042247,58520,57305,0.016537,57.9563,833.8151,704.3363,129.4788,61372.06,53237.94,0.733,59650
2025-06-20,59400,59800,59100,59500,58468.76,18072251,0.005068,0.070867,58760,57495,0.016473,59.1166,860.4707,735.5632,124.9076,61601.21,53388.79,0.7441,59500
2025-06-23,58400,58500,57600,58000,56994.76,16551694,-0.02521,-0.084138,58920,57660,0.017053,51.4682,751.8907,738.8287,13.062,61552.99,53767.01,0.5437,58200
2025-06-24,59400,60600,59300,60500,59451.43,23737899,0.043103,0.434167,59400,57975,0.018903,60.6142,857.6825,762.5995,95.0831,61705.32,54244.68,0.8384,60150
2025-06-25,61500,61600,60300,61300,60237.56,23933612,0.013223,0.008245,59700,58305,0.018964,63.0161,994.6114,809.0018,185.6095,61982.8,54627.2,0.9072,60550
2025-06-26,61300,61300,59900,60200,59156.62,19402300,-0.017945,-0.189328,59900,58620,0.019169,57.7969,1002.8079,847.7631,155.0449,61747.2,55492.8,0.7526,60200
2025-06-27,60100,61600,60000,60800,60112.7,17340470,0.009967,-0.106267,60160,58865,0.017786,59.7549,1045.6649,887.3434,158.3215,61859.93,55870.07,0.823,61100
2025-06-30,61200,61200,59800,59800,59124.0,17110294,-0.016447,-0.013274,60520,59050,0.018385,55.1615,987.5539,907.3855,80.1684,61770.29,56329.71,0.6379,60400
2025-07-01,60400,61100,60200,60200,59519.48,13650991,0.006689,-0.202177,60460,59250,0.018397,56.5987,962.6799,918.4444,44.2355,61658.32,56841.68,0.6972,60600
2025-07-02,60200,60900,59800,60800,60112.7,15047951,0.009967,0.102334,60360,59450,0.018384,58.7352,980.0844,930.7724,49.312,61657.64,57242.36,0.8058,60600
2025-07-03,61300,63800,61100,63800,63078.78,32040639,0.049342,1.129236,61080,59750,0.020749,67.3815,1221.8675,988.9914,232.8761,62561.63,56938.37,1.2202,62550
2025-07-04,64700,64700,63000,63300,62584.43,23748959,-0.007837,-0.258786,61580,59960,0.020519,64.9392,1357.4882,1062.6908,294.7975,63166.83,56753.17,1.0208,63300
2025-07-07,62900,63300,61700,61700,61002.52,17164708,-0.025276,-0.277244,61960,60055,0.021402,57.7286,1320.6385,1114.2803,206.3582,63353.15,56756.85,0.7494,62450
2025-07-08,61600,62400,61000,61400,60705.91,20213724,-0.004862,0.177633,62200,60165,0.021284,56.4626,1252.7861,1141.9815,110.8046,63489.72,56840.28,0.6857,61400
2025-07-09,61400,61400,60200,60400,59717.22,17533415,-0.016287,-0.132598,62120,60190,0.021524,52.3422,1105.5764,1134.7005,-29.124,63513.85,56866.15,0.5316,60700
2025-07-10,60600,61200,60400,61000,60310.43,14768473,0.009934,-0.157696,61560,60265,0.021554,54.4883,1025.5053,1112.8614,-87.3561,63590.99,56939.01,0.6105,60900
2025-07-11,61300,62800,61200,62600,61892.35,19140650,0.02623,0.296048,61420,60480,0.021595,59.6998,1078.7202,1106.0332,-27.313,63827.02,57132.98,0.8167,62500
2025-07-14,62300,62600,61800,62500,61793.48,13563846,-0.001597,-0.291359,61580,60745,0.020977,59.2432,1100.1425,1104.8551,-4.7125,63827.36,57662.64,0.7847,62300
2025-07-15,62300,63800,62000,63700,62979.91,18442202,0.0192,0.359659,62040,61025,0.021086,62.9093,1200.1156,1123.9072,76.2084,64113.09,57936.91,0.9331,63200
2025-07-16,63700,64700,63100,64700,63968.61,23042660,0.015699,0.249453,62900,61270,0.020484,65.6798,1344.5376,1168.0333,176.5044,64706.71,57833.29,0.999,64500
2025-07-17,65900,66800,64400,66700,65946.0,39448683,0.030912,0.711985,64040,61645,0.021021,70.4361,1601.9106,1254.8087,347.1019,65709.99,57580.01,1.1218,65900
2025-07-18,67000,67800,66300,67100,66341.48,23951531,0.005997,-0.392843,64940,62025,0.02102,71.2929,1817.2095,1367.2889,449.9206,66630.66,57419.34,1.051,67150
2025-07-21,67400,68800,67200,67800,67033.56,17723148,0.010432,-0.260041,66000,62515,0.019674,72.7798,2021.0226,1498.0356,522.9869,67394.72,57635.28,1.0415,67900
2025-07-22,68100,68500,65600,66000,65253.91,20829006,-0.026549,0.175243,66460,62790,0.019382,63.6504,2014.0838,1601.2453,412.8385,67809.5,57770.5,0.8198,66400
2025-07-23,66200,66500,64900,66400,65649.39,15687058,0.006061,-0.246865,66800,63045,0.019278,64.7098,2017.6037,1684.5169,333.0868,68260.15,57829.85,0.8217,66200
2025-07-24,66500,66800,65900,66000,65253.91,12660193,-0.006024,-0.192953,66660,63335,0.018731,62.7405,1965.46,1740.7056,224.7545,68529.04,58140.96,0.7565,66100
2025-07-25,65700,66300,65500,65900,65155.05,8080910,-0.001515,-0.361707,66420,63590,0.018734,62.2307,1894.2311,1771.4107,122.8204,68760.73,58419.27,0.7234,66100
2025-07-28,68200,70400,67200,70400,69604.17,35332500,0.068285,3.372342,66940,64120,0.022652,72.9024,2175.8127,1852.2911,323.5216,69802.7,58437.3,1.0526,68000
2025-07-29,70800,70800,68800,70600,69801.91,28190940,0.002841,-0.202124,67860,64640,0.022682,73.2639,2387.5838,1959.3496,428.2342,70702.97,58577.03,0.9915,70400
2025-07-30,71000,73700,70600,72600,71779.3,34761444,0.028329,0.233071,69100,65230,0.023117,76.6231,2685.8366,2104.647,581.1896,71977.51,58482.49,1.0461,72850
2025-07-31,73000,74000,71000,71400,70592.87,26568072,-0.016529,-0.235703,70180,65610,0.021826,70.8696,2793.1761,2242.3528,550.8233,72856.02,58363.98,0.8995,71400
2025-08-01,70200,72000,68800,68900,68121.13,24038534,-0.035014,-0.09521,70780,65890,0.023546,60.6518,2646.0128,2323.0848,322.928,73192.75,58587.25,0.7061,69400
2025-08-04,69500,70200,68700,69700,68912.09,14780072,0.011611,-0.385151,70640,66290,0.022511,62.5143,2564.3775,2371.3434,193.0342,73502.24,59077.76,0.7364,69750
2025-08-05,71000,71500,69700,69900,69109.82,14392903,0.002869,-0.026195,70500,66715,0.022378,62.986,2487.149,2394.5045,92.6445,73712.53,59717.47,0.7276,70000
2025-08-06,69200,69400,68300,68800,68022.27,12542415,-0.015737,-0.128569,69740,67135,0.022348,58.6171,2310.5495,2377.7135,-67.164,73517.96,60752.04,0.6304,68600
2025-08-07,70800,71000,69700,70500,69703.05,15008213,0.024709,0.196597,69560,67610,0.022697,62.9,2281.4695,2358.4647,-76.9952,73462.54,61757.46,0.7469,70000
2025-08-08,71000,72400,70700,71800,70988.34,22241128,0.01844,0.48193,70140,68070,0.02243,65.8138,2336.3901,2354.0498,-17.6597,73706.76,62433.24,0.8309,71800
2025-08-11,72000,72100,70800,71000,70197.38,11354253,-0.011142,-0.489493,70400,68495,0.022721,62.5577,2288.9759,2341.035,-52.0591,73622.21,63367.79,0.7443,71100
2025-08-12,71100,72400,71100,71100,70296.27,15797656,0.001408,0.391343,70640,68865,0.022546,62.8055,2233.72,2319.572,-85.852,73587.3,64142.7,0.7366,71600
2025-08-13,71900,72100,71400,71900,71087.22,12305742,0.011252,-0.22104,71260,69225,0.022464,64.8111,2228.7905,2301.4157,-72.6252,73701.78,64748.22,0.7988,71750
2025-08-14,71900,71900,71200,71600,70790.61,11946122,-0.004172,-0.029224,71480,69470,0.021745,63.4298,2175.5975,2276.2521,-100.6546,73901.04,65038.96,0.7403,71400
2025-08-18,71100,71200,70000,70000,69208.7,13595591,-0.022346,0.138076,71120,69615,0.022503,56.512,1981.4935,2217.3004,-235.8069,73907.11,65322.89,0.5448,70400
2025-08-19,70400,70700,69700,70000,69208.7,10533082,0,-0.225258,70920,69725,0.022422,56.512,1806.8366,2135.2076,-328.371,73933.2,65516.8,0.5327,70450
2025-08-20,70100,70700,69400,70500,69703.05,17445516,0.007143,0.656259,70800,69950,0.021413,58.1656,1689.2925,2046.0246,-356.7321,73784.2,66115.8,0.5717,69900
2025-08-21,71500,71900,70600,70600,69801.91,18843833,0.001418,0.080153,70540,70160,0.021407,58.5054,1585.9256,1954.0048,-368.0792,73617.04,66702.96,0.5636,71800
2025-08-22,71700,71800,70800,71400,70592.87,9277432,0.011331,-0.507667,70500,70430,0.021369,61.2195,1550.6845,1873.3407,-322.6562,73315.24,67544.76,0.6681,71100
2025-08-25,71700,71800,71000,71500,70691.74,10345178,0.001401,0.115091,70800,70710,0.02134,61.558,1513.3796,1801.3485,-287.9689,72688.73,68731.27,0.6996,71350
2025-08-26,70800,71100,70300,70300,69505.3,14712519,-0.016783,0.422162,70860,70705,0.016072,55.3184,1371.1791,1715.3146,-344.1355,72687.53,68722.47,0.3979,70750
2025-08-27,70100,70900,69800,70600,69801.91,10523405,0.004267,-0.284731,70880,70705,0.016089,56.5054,1268.0741,1625.8665,-357.7924,72687.53,68722.47,0.4735,70700
2025-08-28,70100,70400,69600,69600,68813.23,11578024,-0.014164,0.100217,70680,70555,0.01496,51.5862,1093.0707,1519.3073,-426.2366,72381.67,68728.33,0.2386,70100
2025-08-29,70100,70500,69700,69700,68912.09,11682267,0.001437,0.009004,70340,70470,0.014576,52.0358,951.4804,1405.742,-454.2615,72289.31,68650.69,0.2884,69900
2025-09-01,68400,68600,67500,67600,66835.82,12002343,-0.030129,0.027398,69560,70405,0.01398,43.0027,662.1834,1257.0302,-594.8469,72528.03,68281.97,-0.1606,68000
2025-09-02,67800,69500,67800,69100,68318.87,10604028,0.022189,-0.116504,69320,70375,0.014647,49.7172,547.638,1115.1518,-567.5138,72556.14,68193.86,0.2077,69200
2025-09-03,69200,69800,68800,69800,69010.96,10283009,0.01013,-0.030273,69160,70370,0.01482,52.5277,507.4941,993.6203,-486.1262,72556.18,68183.82,0.3696,69750
2025-09-04,69500,70100,69300,70100,69307.56,12284414,0.004298,0.194632,69260,70435,0.014368,53.7216,494.1905,893.7343,-399.5438,72498.49,68371.51,0.4188,69500
2025-09-05,70300,70400,69500,69500,68714.34,11526724,-0.008559,-0.061679,69220,70385,0.013392,50.9612,430.2724,801.0419,-370.7695,72489.91,68280.09,0.2898,69750
2025-09-08,69800,70500,69600,70100,69307.56,9263135,0.008633,-0.196377,69720,70300,0.012834,53.5325,423.154,725.4643,-302.3103,72298.95,68301.05,0.45,69850
2025-09-09,70100,71500,70000,71500,70691.74,14870245,0.019971,0.605315,70200,70325,0.013419,58.9422,524.4355,685.2586,-160.823,72372.72,68277.28,0.7869,71000
2025-09-10,71800,72800,71600,72600,71779.3,21928565,0.015385,0.474661,70760,70400,0.013828,62.624,685.56,685.3189,0.2411,72665.53,68134.47,0.9855,72350
2025-09-11,73200,73600,72100,73400,72570.27,20793501,0.011019,-0.051762,71420,70475,0.013819,65.0769,867.8021,721.8155,145.9866,73030.39,67919.61,1.0723,72800
2025-09-12,74600,75600,74200,75400,74547.65,28219678,0.027248,0.357139,72600,70665,0.014905,70.3207,1160.2391,809.5002,350.7388,74014.33,67315.67,1.2069,74900
2025-09-15,77200,77600,75900,76500,75635.22,19908805,0.014589,-0.294506,73880,70990,0.013878,72.7447,1463.8835,940.3769,523.5066,75214.69,66765.31,1.1521,76900
2025-09-16,76900,79500,76700,79400,78502.44,28218265,0.037908,0.417376,75460,71460,0.015635,77.8751,1916.4382,1135.5892,780.8491,77081.54,65838.46,1.2062,78500
2025-09-17,79100,79100,77100,78200,77316.0,20856317,-0.015113,-0.260893,76580,71845,0.016355,71.8483,2153.4376,1339.1588,814.2788,78196.95,65493.05,1.0002,78700
2025-09-18,79100,80500,78600,80500,79392.27,25619035,0.029412,0.228359,78000,72340,0.017163,75.7259,2498.0561,1570.9383,927.1178,79739.97,64940.03,1.0514,80300
2025-09-19,81100,81200,79600,79700,79700,20898386,-0.009938,-0.184263,78860,72755,0.017511,72.0106,2675.7708,1791.9048,883.866,80832.9,64677.1,0.9299,79900
2025-09-22,81500,84000,81100,83500,82556.09,27529656,0.047679,0.31731,80260,73355,0.019728,77.6259,3087.6467,2051.0532,1036.5935,82720.44,63989.56,1.0416,83750
2025-09-23,85800,85900,83600,84700,83742.52,23610263,0.014371,-0.14237,81320,74075,0.018889,79.055,3470.8812,2335.0188,1135.8624,84594.53,63555.47,1.005,84950
2025-09-24,84200,85500,83700,85400,84434.61,18300997,0.008264,-0.224871,82760,74815,0.018854,79.863,3787.4223,2625.4995,1161.9229,86339.49,63290.51,0.9592,84300
2025-09-25,84400,86200,84100,86100,85126.7,19665151,0.008197,0.07454,83880,75640,0.018013,80.6662,4048.1036,2910.0203,1138.0833,87929.56,63350.44,0.9256,85850
2025-09-26,85000,85300,82400,83300,82358.34,24071193,-0.03252,0.224053,84600,76320,0.02043,68.8384,3982.8471,3124.5857,858.2614,88730.11,63909.89,0.7812,83000
2025-09-29,83300,85000,83200,84200,83619.59,13069094,0.010804,-0.457065,84740,77150,0.018191,70.3436,3958.1264,3291.2938,666.8326,89322.7,64977.3,0.7896,84200
2025-09-30,84600,84900,83400,83900,83321.66,16319061,-0.003563,0.248676,84580,77890,0.018276,69.1447,3869.7199,3406.979,462.7409,89798.76,65981.24,0.7523,83900
2025-10-01,84900,86200,84700,86000,85407.19,22039361,0.02503,0.350529,84700,78700,0.018583,72.6578,3923.8775,3510.3587,413.5188,90495.09,66904.91,0.8095,85750
2025-10-02,89300,90300,88700,89000,89131.34,49883028,0.034884,1.263361,85280,79645,0.019259,76.7333,4160.9084,3640.4687,520.4398,91566.76,67723.24,0.8923,90000
2025-10-10,94000,94500,92700,94400,93749.29,35269748,0.060674,-0.292951,87500,80890,0.02128,81.949,4729.9679,3858.3685,871.5993,93529.94,68250.06,1.0344,94000
2025-10-13,91300,93400,90700,93300,92656.87,23883308,-0.011653,-0.322839,89320,82050,0.022087,78.1079,5034.1601,4093.5268,940.6333,94778.5,69321.5,0.9419,91400
2025-10-14,95300,96000,90200,91600,90968.59,35545235,-0.018221,0.488288,90860,83055,0.023209,72.4556,5079.5054,4290.7225,788.7829,95445.74,70664.26,0.8448,92300
2025-10-15,92300,95300,92100,95000,94345.15,21050111,0.037118,-0.407794,92660,84175,0.023822,76.1699,5328.3714,4498.2523,830.1191,96635.95,71714.05,0.9344,94600
2025-10-16,95300,97700,95000,97700,97026.53,28141060,0.028421,0.33686,94400,85390,0.024033,78.6338,5678.0143,4734.2047,943.8096,98162.16,72617.84,0.9819,97500
2025-10-17,97200,99100,96700,97900,97225.16,22730809,0.002047,-0.192255,95100,86515,0.02399,78.8086,5903.1987,4968.0035,935.1952,99543.27,73486.73,0.9369,97700
2025-10-20,97900,98300,96000,98100,97423.77,17589756,0.002043,-0.226171,96060,87595,0.024112,78.9937,6028.3068,5180.0642,848.2426,100708.51,74481.49,0.9005,98000
2025-10-21,98500,99900,97300,97500,96827.91,22803830,-0.006116,0.296427,97240,88500,0.023713,76.8261,6009.764,5346.0041,663.7599,101729.95,75270.05,0.8401,98350
2025-10-22,97100,98600,95500,98600,97920.33,15937611,0.011282,-0.301099,97960,89520,0.022941,78.017,6014.4981,5479.7029,534.7952,102550.43,76489.57,0.8484,96850
2025-10-23,96800,98500,96300,96500,95834.8,18488581,-0.021298,0.16006,97720,90320,0.023694,70.5615,5782.1446,5540.1913,241.9533,102978.03,77661.97,0.7441,97250
2025-10-24,97900,99000,97700,98800,98118.95,18801925,0.023834,0.016948,97900,91275,0.02346,73.5435,5717.6836,5575.6897,141.9938,103431.5,79118.5,0.8095,98900
2025-10-27,101300,102000,100600,102000,101296.89,22169970,0.032389,0.179133,98680,92200,0.022488,77.0299,5857.2918,5632.0101,225.2817,104676.67,79723.33,0.8927,101500
2025-10-28,100900,101000,99100,99500,98814.12,20002282,-0.02451,-0.097776,99080,92940,0.023761,69.342,5700.4915,5645.7064,54.7851,105298.74,80581.26,0.7654,99700
2025-10-29,100200,101000,99100,100500,99807.23,20899788,0.01005,0.04487,99460,93695,0.023765,70.6057,5592.4515,5635.0554,-42.6039,105958.85,81431.15,0.7774,100300
2025-10-30,102400,105800,102000,104100,103382.42,34570017,0.035821,0.654085,100980,94595,0.024522,74.6559,5731.2526,5654.2949,76.9577,107150.47,82039.53,0.8785,104500
2025-10-31,105000,108600,103300,107500,106758.98,54824564,0.032661,0.585899,102720,95805,0.022844,77.7711,6045.9115,5732.6182,313.2934,108441.37,83168.63,0.9628,105300
2025-11-03,106900,111500,106500,111100,110334.16,30110066,0.033488,-0.450792,104540,97150,0.023277,80.5037,6510.7194,5888.2384,622.481,110301.35,83998.65,1.0304,110800
2025-11-04,111800,112400,104900,104900,104176.91,30450281,-0.055806,0.011299,105620,98200,0.028029,65.5569,6306.102,5971.8112,334.2909,110200,86200,0.7792,107200
2025-11-05,101000,102000,96700,100600,99906.54,44843020,-0.040991,0.472664,105640,98930,0.030204,57.573,5730.9049,5923.6299,-192.725,109495.7,88364.3,0.579,101600
2025-11-06,103700,103800,98800,99200,98516.2,28655689,-0.013917,-0.360978,104660,99440,0.029907,55.2153,5103.2615,5759.5562,-656.2947,108916.04,89963.96,0.4873,100200
2025-11-07,96400,100300,96300,97900,97225.16,22908083,-0.013105,-0.200575,102740,99615,0.027358,53.043,4449.6576,5497.5765,-1047.9189,108824.67,90405.33,0.4069,97000
2025-11-10,98600,101000,97900,100600,99906.54,23842327,0.027579,0.040782,100640,99980,0.027727,56.8408,4102.251,5218.5114,-1116.2604,108701.56,91258.44,0.5355,99900
